"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GUL03G002957",3272.61982321536,-0.446045509019516,0.154380695721506,-2.8892570209954,0.00386153307050771,0.00900804164523055
"GUL03G002959",3487.7658030377,-1.88338656883672,0.10016003820448,-18.8037724685341,7.03315559500836e-79,2.42777408956808e-77
"GUL03G002960",943.201009046491,1.7436040717588,0.170773443631986,10.2100422330081,1.78787001443821e-24,1.95455206077314e-23
"GUL03G002961",490.470525412536,0.232430663389961,0.418643844103812,0.555199047265399,0.57875852051984,0.682611868379953
"GUL03G002962",1870.30207579058,-0.71549373641119,0.267567375945714,-2.67406941478678,0.00749369387487841,0.0164874700825765
"GUL03G002963",1.11393879688763,-3.59007850157724,4.28779387417482,-0.837278704837027,0.402435926376751,NA
"GUL03G002965",2153.21934294069,1.11171482006551,0.155822226508583,7.13450734837413,9.71344262917059e-13,6.07535735085968e-12
"GUL03G002966",283.748300257777,1.37914300662247,0.433736651697678,3.17967827073041,0.00147438648449755,0.00371251333631101
"GUL03G002969",10.7062913633832,7.29077738032361,3.36498964917127,2.16665670342231,0.0302610402764992,0.0576046468243325
"GUL03G002970",391.050159600737,-0.276463120499676,0.323148929377271,-0.855528505176973,0.39225863075214,0.498457262843003
"GUL03G002971",904.558821222265,-1.94193181775357,0.234536203091195,-8.27988085489082,1.23298581165281e-16,9.6128242615613e-16
"GUL03G002973",5040.67768588448,0.955632752795112,0.112279060180212,8.5112286410421,1.72099893814687e-17,1.40048000460672e-16
"GUL03G002974",1087.20791235088,0.688044488663153,0.286353444965214,2.40278055235807,0.0162709483004303,0.0332428693417044
"GUL03G002975",16862.280660664,-1.28526991321851,0.0607298939069815,-21.1637108272761,2.06327927969953e-99,9.46524548816178e-98
"GUL03G002976",15.9168886365923,1.59143115737044,2.6466954779695,0.601289861496026,0.547646941122979,0.65228083451331
"GUL03G002977",16.0890496221595,1.29143413233168,2.34897248293507,0.549786828800149,0.582465593653255,0.685555947697726
"GUL03G002978",2138.04287622308,-0.0552939822642171,0.159814434497831,-0.345988661399466,0.729351236008338,0.811907322417672
"GUL03G002979",2110.92228615518,0.423754910736465,0.127305940721609,3.32863422032383,0.00087272941433876,0.00228766399830356
"GUL03G002980",7.01331597102353,1.49866889577339,2.94663623475489,0.508603294189129,0.611030319470035,0.710600698007632
"GUL03G002982",805.214500484328,0.426317274877859,0.231212531991229,1.84383290648809,0.0652074954509604,0.112643232741569
"GUL03G002983",1088.93617969252,2.89975498143877,0.242391552639539,11.9631024673166,5.54507405549759e-33,8.00074970864652e-32
"GUL03G002984",247.336373509771,-0.812919430348022,0.460400913764091,-1.76567727396944,0.0774500076080223,0.130651971731644
"GUL03G002985",7084.23245506677,-1.67189661398602,0.101341560403707,-16.4976403296515,3.81512238122022e-61,1.012265390295e-59
"GUL03G002986",93.5826496540755,0.637329246701772,0.955245641897833,0.667188855670212,0.504651508702566,0.611456456264173
"GUL03G002987",2714.15035308434,0.0612640188096061,0.10807308315706,0.566875830872455,0.570798545880928,0.675072701983213
"GUL03G002988",19.067056361683,1.13054227754559,1.99988495875014,0.565303655392325,0.57186724282289,0.676075999065616
"GUL03G002989",9.73988491041195,-6.43363408422354,2.46805001312493,-2.60676811653326,0.00914012346934912,0.0197313792161347
"GUL03G002990",2.32551251452214,-4.81235038137304,4.26456274112879,-1.1284510683736,0.259129470766904,NA
"GUL03G002991",1.55517113250045,3.89791981736902,4.26079398849189,0.914834143095636,0.360278707530406,NA
"GUL03G002992",3337.46969292813,2.09441423368854,0.181178499938216,11.5599490800662,6.57477645371889e-31,8.8322243297002e-30
"GUL03G002993",2.75027927136015,5.68100804442065,4.25482728913743,1.33519122125691,0.181813769333107,NA
"GUL03G002994",363.972676618081,-0.284169874045798,0.522081260437966,-0.544301999668428,0.586233671116707,0.689044250285779
"GUL03G002995",386.734978662285,0.812382743053921,0.507027390505309,1.60224626571809,0.109101162887419,0.174509244052785
"GUL03G002996",1308.23710207027,-0.120792069110074,0.239515989139148,-0.504317350771517,0.614038386664594,0.713389070954279
"GUL03G002997",1860.81366152904,-0.517779117184824,0.20695465646571,-2.50189643483869,0.0123530054828557,0.0259327528496901
"GUL03G002998",200.069618494019,-1.34317035416379,0.96973296957811,-1.38509300632332,0.166024030134326,0.245569081636037
"GUL03G002999",398.458048544059,-1.1139561810948,0.339074489180746,-3.28528455144557,0.00101879424783675,0.00264427529871587
"GUL03G003000",60.2723966073005,-1.65780454571941,1.14877111769371,-1.44311126923842,0.148989129303986,0.225593201339239
"GUL03G003001",24.8507562456876,0.615309803259454,1.83334451020843,0.33562148294185,0.737156321745654,0.818310534379826
"GUL03G003002",27.0060376756408,-1.68460090869295,1.6540780497331,-1.01845309474046,0.308462680870181,0.408779674762249
"GUL03G003003",73.3307410050851,-1.69292158580153,1.30648960852163,-1.29577883724401,0.195051691091754,0.280081538407729
"GUL03G003004",41.090266991192,6.48052906186066,1.79378467400618,3.61276866491855,0.000302944958293575,0.000855764059391097
"GUL03G003005",581.384430549452,-0.0572202940119385,0.254710564401309,-0.224648295002736,0.822252891022785,0.88787684035251
"GUL03G003006",263.752142947203,-0.868975298799183,0.439070870526747,-1.97912309180677,0.0478021491768295,0.0859052608367085
"GUL03G003007",123.378613986471,-6.31205415078427,1.25850478071368,-5.01551861186004,5.28906040166971e-07,2.08898309363019e-06
"GUL03G003008",1299.71352126748,0.371054980713618,0.171013940953969,2.16973527797651,0.0300269059153235,0.0572299721891579
"GUL03G003009",718.023318205695,0.841598440093937,0.244301399324446,3.44491862273882,0.000571231338882557,0.00154385318249032
"GUL03G003010",2137.9769355778,-0.53530413091275,0.171420229604832,-3.12275938578991,0.00179164154128264,0.00444253974011919
"GUL03G003011",705.136885961633,0.462622685439028,0.264540412317666,1.74877887800182,0.0803292492396382,0.134733698373832
"GUL03G003012",1916.0987216882,-3.97574735629244,0.312261570681212,-12.7321058035389,3.92118831532304e-37,6.39028717284019e-36
"GUL03G003014",212.329337609995,-4.30990771319569,0.907073433636343,-4.75144299609549,2.01970100292124e-06,7.48332151489977e-06
"GUL03G003015",904.593236416703,-1.801417543243,0.313917579489838,-5.73850482082135,9.55160452107091e-09,4.4592929381899e-08
"GUL03G003016",494.933236758846,0.663254133111748,0.294929868500393,2.2488537240536,0.0245218040083446,0.0478903983271107
"GUL03G003017",4924.03716858635,-0.00592526968087184,0.106948521996891,-0.0554030067011499,0.955817400517584,0.988730778930417
"GUL03G003018",192.006439920865,-1.12701209802076,0.506423664914695,-2.22543332016405,0.0260521627908682,0.0505413193720875
"GUL03G003019",354.119387296444,1.23468957035346,0.325099188653047,3.79788573287135,0.000145935566959348,0.000432050255715714
"GUL03G003020",312.585108280259,4.20061832505411,0.602634533187767,6.97042418534168,3.15986772272407e-12,1.90406662211679e-11
"GUL03G003022",54.5089064216952,3.60795238786015,1.40083416746165,2.5755742340279,0.0100073789031371,0.0214507511283575
